topic,Title,videoID,publishTIME,duration,viewsCount,likeCount,dislikeCount,commentCount,duration(sec),Age(days),zscore(views),zscore(likes),zscore(dislikes),Age_score,duration_score,score
Business Administration,MINO(송민호) - &#39;아낙네 (FIANCÉ)&#39; M/V,NY8VGNft-Zc,2018-11-26 09:00:17,PT3M45S,49285083,840255,18430,55221,225,633.0,25.59759979806986,33.44435178322089,26.806779252568607,0.0,-0.5,55.86127365603389
Business Administration,Bitrix24 #1 Free Business Management Solution,ce-bnAiL5o8,2019-01-16 07:19:38,PT47S,46442585,119,64,45,47,582.0,24.11461625410035,-0.12182497801555284,-0.06219304532659423,0.0,-0.5,23.49901058061746
Business Administration,Facing Financial Crisis in Lockdown,lKcpbp-35U0,2020-05-04 17:53:39,PT12M24S,4649526,318270,6104,41007,744,107.0,2.3104078609381165,12.589346430856503,8.774167222520896,0.0,0.0,14.02233756954253
Business Administration,Phyno - Financial Woman (Official Music Video) ft. P Square,pyWWMZVfOOQ,2017-02-06 16:00:24,PT4M30S,20408810,41884,4994,2425,270,1291.0,10.532316490862224,1.5468231604204143,7.150266577270778,0.0,-0.5,10.86411299355556
Business Administration,Simple Steps to Financial Freedom,ATDYLTnGJV0,2019-01-21 14:00:00,PT10M39S,3614691,150164,2303,5066,639,577.0,1.770515387584155,5.872962761278705,3.21340474270495,0.0,0.0,7.322137674592365
Business Administration,William Ackman: Everything You Need to Know About Finance and Investing in Under an Hour | Big Think,WEDIj9JBTC8,2012-11-27 19:42:33,PT43M57S,4765028,109725,1514,4909,2637,2822.0,2.370667381013616,4.257292653049038,2.059118608378515,-0.5,0.0,5.922048173224802
Business Administration,GTA Online: Further Adventures in Finance and Felony Trailer,7t2mi19DcmE,2016-06-02 14:11:09,PT1M9S,6851601,77885,1504,8747,69,1540.0,3.4592709340472836,2.9851806758480035,2.0444888728357213,0.0,-0.5,5.740002722611715
Business Administration,A Minimalist Approach to Personal Finance,zVcwvCL2C2c,2018-06-26 02:25:27,PT7M44S,3379850,98385,2058,3626,464,786.0,1.6479945138845626,3.8042226209680163,2.854976221906501,0.0,0.0,5.1667195126619285
Business Administration,Muthoot Finance - India&#39;s No. 1 Presents 1 Visit Gold Loan,D9u3gPRCCfg,2019-09-06 12:49:01,PT1M31S,10917327,827,348,13,91,349.0,5.58043504824859,-0.0935380659597007,0.3532914440887513,0.0,-0.5,4.951567837880014
Business Administration,Kevin Hart⎢Stay in your own financial lane!⎢Shaq&#39;s Five Minute Funnies⎢Comedy Shaq,kwauNQdyl8M,2013-03-15 07:03:18,PT5M38S,6129689,64410,2069,964,338,2715.0,3.082636151474308,2.446810421677654,2.871068931003574,-0.5,0.0,4.742339680051604
